model,condition,domain,pred_len,mse_mean,mse_std,n_seeds
aurora,C2_empty,Economy,6,0.034580279141664505,0.0019272597847148764,3
aurora,C2_empty,Economy,8,0.0322396115710338,0.0010380273582005972,3
aurora,C2_empty,Economy,10,0.030023686587810516,0.00078054154360867,3
aurora,C2_empty,Economy,12,0.03147879056632519,0.0006265637536976762,3
aurora,C2_empty,Energy,12,0.11775481204191844,0.0014342223779838716,3
aurora,C2_empty,Energy,24,0.22598177194595337,0.0016510079281645384,3
aurora,C2_empty,Energy,36,0.2931414445241292,0.00040926002768506756,3
aurora,C2_empty,Energy,48,0.3860747814178467,0.0018190771723116958,3
aurora,C2_empty,Environment,48,0.2803759276866913,0.00017236617528240786,3
aurora,C2_empty,Environment,96,0.28431851665178937,9.519071398515934e-05,3
aurora,C2_empty,Environment,192,0.27016523480415344,3.6795224646969446e-05,3
aurora,C2_empty,Environment,336,0.26888906955718994,5.153211076418728e-05,3
aurora,C2_empty,Health,12,1.0933568874994914,0.0031039891084193717,3
aurora,C2_empty,Health,24,1.5685296456019084,0.0011512158444844341,3
aurora,C2_empty,Health,36,1.687238057454427,0.005224562816134685,3
aurora,C2_empty,Health,48,1.8549913167953491,0.0028927960412834203,3
aurora,C2_empty,Security,6,67.39337921142578,0.10116230453833638,3
aurora,C2_empty,Security,8,70.7722396850586,0.32974708329661595,3
aurora,C2_empty,Security,10,74.98025258382161,0.9794153321792566,3
aurora,C2_empty,Security,12,77.82483418782552,0.1312494935576318,3
aurora,C2_empty,SocialGood,6,0.7045055429140726,0.0021350477028572326,3
aurora,C2_empty,SocialGood,8,0.8034268816312155,0.004565309531958381,3
aurora,C2_empty,SocialGood,10,0.8830868005752563,0.0023101918829967396,3
aurora,C2_empty,SocialGood,12,0.9514676332473755,0.004392265719027283,3
aurora,C2_empty,Traffic,6,0.15411372979482016,0.0007142306898877631,3
aurora,C2_empty,Traffic,8,0.15824872752030691,0.0007165288789345986,3
aurora,C2_empty,Traffic,10,0.16258322695891061,0.00090355399005202,3
aurora,C2_empty,Traffic,12,0.16824685037136078,0.00030508280181150936,3
aurora,C3_shuffled,Agriculture,6,0.18134850760300955,0.0031973967945922747,3
aurora,C3_shuffled,Agriculture,8,0.23920096457004547,0.0021275339621748685,3
aurora,C3_shuffled,Agriculture,10,0.307609220345815,0.00785300175736776,3
aurora,C3_shuffled,Agriculture,12,0.37212616205215454,0.00746259893527646,3
aurora,C3_shuffled,Climate,6,0.8580838044484457,0.004839423867459095,3
aurora,C3_shuffled,Climate,8,0.86298934618632,0.002063759409210056,3
aurora,C3_shuffled,Climate,10,0.8651779095331827,0.001073452860317665,3
aurora,C3_shuffled,Climate,12,0.8733916878700256,0.0008252944845799586,3
aurora,C3_shuffled,Economy,6,0.03684377297759056,0.0022961860561850483,3
aurora,C3_shuffled,Economy,8,0.034271933138370514,0.0012003196855522222,3
aurora,C3_shuffled,Economy,10,0.03178655790785948,0.0010344361376491908,3
aurora,C3_shuffled,Economy,12,0.03297406559189161,0.00046561230646756716,3
aurora,C3_shuffled,Energy,12,0.11923070251941681,0.0016446747391340112,3
aurora,C3_shuffled,Energy,24,0.22524001200993857,0.0015121300891789023,3
aurora,C3_shuffled,Energy,36,0.2913355529308319,0.00021805215148397564,3
aurora,C3_shuffled,Energy,48,0.38359729448954266,0.0020605093891889565,3
aurora,C3_shuffled,Environment,48,0.28046239415804547,0.00016434632296735574,3
aurora,C3_shuffled,Environment,96,0.2844495077927907,9.285257942994968e-05,3
aurora,C3_shuffled,Environment,192,0.27029727896054584,3.941600598391989e-05,3
aurora,C3_shuffled,Environment,336,0.2690550486246745,4.935223495058998e-05,3
aurora,C3_shuffled,Health,12,1.09258238474528,0.003166359650691728,3
aurora,C3_shuffled,Health,24,1.56868843237559,0.0008470687356485964,3
aurora,C3_shuffled,Health,36,1.6904274225234985,0.006205958235115749,3
aurora,C3_shuffled,Health,48,1.8584431012471516,0.004268233019844907,3
aurora,C3_shuffled,Security,6,67.4068374633789,0.10043634214901098,3
aurora,C3_shuffled,Security,8,70.77062225341797,0.33249529858444243,3
aurora,C3_shuffled,Security,10,74.9461669921875,0.971892099460292,3
aurora,C3_shuffled,Security,12,77.77549997965495,0.13348514701354258,3
