model,condition,domain,pred_len,mean,std,cv,n_backbones
tats,C9_zero_priors,SocialGood,6,3.354058788882362,1.8662640746738997,0.5564196074499265,3
tats,C5_constant,SocialGood,6,3.35448102818595,1.865682476627451,0.5561761896851097,3
mmtsflib,C9_zero_priors,Traffic,8,0.35813457932737136,0.19629998203742136,0.5481179237316351,3
mmtsflib,C2_empty,Traffic,8,0.3593446248107486,0.19542655274145618,0.5438415917432436,3
mmtsflib,C5_constant,Traffic,8,0.35989366802904343,0.19426460128151923,0.5397833264069599,3
tats,C9_zero_priors,SocialGood,8,3.2738418579101562,1.6974223649301745,0.5184802561030597,3
tats,C2_empty,SocialGood,8,3.2738418579101562,1.6974223649301745,0.5184802561030597,3
tats,C5_constant,SocialGood,8,3.273922893736098,1.6973091170792745,0.5184328318564518,3
tats,C5_constant,SocialGood,10,3.303765469127231,1.7030316443748088,0.5154820038798654,3
tats,C9_zero_priors,SocialGood,10,3.3041005068355136,1.702559898123202,0.5152869577063262,3
tats,C2_empty,SocialGood,10,3.3041038645638356,1.702555166781894,0.5152850020974273,3
mmtsflib,C9_zero_priors,Traffic,6,0.3395615335967806,0.1742215330726667,0.5130779426846083,3
tats,C2_empty,SocialGood,12,3.227858636114332,1.632982563043532,0.5059027507503556,3
tats,C5_constant,SocialGood,12,3.227994912200504,1.6327903749862205,0.5058218551754649,3
tats,C9_zero_priors,SocialGood,12,3.228024959564209,1.6327484321049743,0.505804153486285,3
mmtsflib,C2_empty,Traffic,6,0.343068723877271,0.1724507023398444,0.5026710111923135,3
mmtsflib,C9_zero_priors,Agriculture,10,0.894967516263326,0.4440781695870065,0.49619473502359557,3
mmtsflib,C5_constant,Traffic,6,0.3454584810468886,0.17131249440986068,0.4958989395504483,3
mmtsflib,C2_empty,Agriculture,10,0.8960013720724319,0.44000116094281044,0.49107197227287414,3
mmtsflib,C2_empty,Agriculture,8,0.7351251045862833,0.3584500196734707,0.4876041063448658,3
mmtsflib,C5_constant,Agriculture,8,0.735849142074585,0.35695430550666446,0.4850916921643756,3
mmtsflib,C9_zero_priors,Agriculture,8,0.7369773520363702,0.3568399720147812,0.4841939457552977,3
mmtsflib,C5_constant,Agriculture,10,0.9231959448920356,0.418855212091717,0.4537013127161218,3
mmtsflib,C9_zero_priors,Agriculture,6,0.626332422097524,0.2827966722004911,0.45151210798481994,3
mmtsflib,C2_empty,Agriculture,6,0.6299147076076932,0.2759907629182241,0.43813989352048816,3
mmtsflib,C5_constant,Agriculture,6,0.6268623007668389,0.2728090012093752,0.43519765166233265,3
tats,C9_zero_priors,Health,12,1.8698839346567793,0.805103916750651,0.43056357767918324,3
tats,C5_constant,Health,12,1.870544367366367,0.8045082394907841,0.43009310740032936,3
tats,C2_empty,Health,12,1.871235383881463,0.8038850442372732,0.42960124159783253,3
mmtsflib,C9_zero_priors,Traffic,12,0.3894132822751999,0.16179323069349386,0.4154794868531319,3
mmtsflib,C5_constant,Agriculture,12,0.9320525924364725,0.38402253760577687,0.41201809932410155,3
mmtsflib,C2_empty,Agriculture,12,0.93317268954383,0.3822073433312404,0.4095783638053936,3
mmtsflib,C2_empty,Traffic,12,0.3919832292530272,0.15901042383897449,0.40565619131713526,3
mmtsflib,C5_constant,Traffic,12,0.3920607301923964,0.15862906067232846,0.4046032883591382,3
tats,C8_oracle,Agriculture,12,0.21939322021272448,0.08795994935460605,0.40092373533384373,3
tats,C1_original,Agriculture,12,0.21933494673834908,0.08788042545007017,0.4006676854596511,3
tats,C3_shuffled,Agriculture,12,0.21929614742596945,0.08782746717850513,0.40049708218496705,3
tats,C4_crossdomain,Agriculture,12,0.2192899650997586,0.08781903021505355,0.4004698991816759,3
mmtsflib,C9_zero_priors,Agriculture,12,0.9420783585972257,0.37604187295976765,0.3991619906434342,3
tats,C3_shuffled,Agriculture,10,0.18352486855453917,0.07251320715858864,0.39511379427600274,3
tats,C1_original,Agriculture,10,0.1834004728330506,0.07235121720733007,0.3944985314906541,3
tats,C8_oracle,Agriculture,10,0.1832272253102726,0.07212587708356698,0.3936417034173319,3
tats,C4_crossdomain,Agriculture,10,0.1831841278407309,0.07206982076499614,0.3934283041577549,3
tats,C8_oracle,Agriculture,6,0.11301527420679729,0.043138705029805796,0.3817068562862561,3
tats,C3_shuffled,Agriculture,6,0.11293979692790244,0.04304373201754994,0.38112103251812857,3
tats,C4_crossdomain,Agriculture,6,0.11288829147815704,0.04297894932813902,0.3807210541090977,3
tats,C1_original,Agriculture,6,0.11256681092911297,0.042575223511782376,0.37822181476379746,3
mmtsflib,C6_unimodal,Traffic,8,0.2661980224980248,0.09975593449283449,0.3747433341416902,3
mmtsflib,C6_unimodal,Traffic,6,0.25976141128275126,0.09701990846192095,0.3734962324958822,3
tats,C6_unimodal,Traffic,8,0.27531057761775124,0.09633497212783428,0.34991380629620555,3
tats,C6_unimodal,Energy,12,0.19977076517211068,0.06974729060551352,0.3491366243975858,3
tats,C6_unimodal,Environment,192,0.5069825218783485,0.17490837356368721,0.3449988234617225,3
mmtsflib,C2_empty,Energy,12,0.2328876836432351,0.07802612026627063,0.33503755563905335,3
mmtsflib,C5_constant,Energy,12,0.2337688969241248,0.07772643557334398,0.33249263095326115,3
tats,C1_original,Energy,12,0.26921871635648936,0.08811940634897134,0.32731530534558717,3
tats,C3_shuffled,Energy,12,0.2693340811464522,0.08811829168584452,0.3271709666699389,3
tats,C8_oracle,Energy,12,0.26959453357590574,0.08811705902233506,0.3268503179702835,3
tats,C4_crossdomain,Energy,12,0.2698854787482156,0.08811745104170042,0.3264994154202267,3
tats,C2_empty,Health,24,1.9797690444522436,0.6375875970197115,0.3220515033338736,3
tats,C5_constant,Health,24,1.979915115568373,0.637415616343138,0.32194088086455946,3
tats,C9_zero_priors,Health,24,1.980062100622389,0.6372389403154043,0.3218277548543059,3
mmtsflib,C8_oracle,Energy,12,0.2099319754375352,0.06743452021188781,0.3212208148441532,3
mmtsflib,C9_zero_priors,SocialGood,8,1.1747937069998846,0.36933072272698303,0.31437921443259764,3
mmtsflib,C6_unimodal,Traffic,10,0.25242798527081806,0.07916879929581985,0.3136292484008197,3
mmtsflib,C1_original,Energy,12,0.20519828134112886,0.06408157444264363,0.3122909900795522,3
mmtsflib,C3_shuffled,Energy,12,0.20488127734926012,0.06379667733160375,0.3113836371824736,3
tats,C9_zero_priors,Health,36,2.0400373140970864,0.625014892714462,0.3063742454098647,3
tats,C5_constant,Health,36,2.040419962671068,0.6245164293487674,0.30607249525790114,3
tats,C6_unimodal,Traffic,6,0.2838239537345038,0.08686888115346005,0.30606606669541153,3
tats,C2_empty,Health,36,2.0404396851857505,0.6244902442394051,0.30605670374547483,3
mmtsflib,C2_empty,SocialGood,8,1.1764028734631007,0.3583583207359373,0.3046221059295786,3
mmtsflib,C4_crossdomain,Energy,12,0.20514855451054045,0.062275141228200215,0.3035611992333124,3
tats,C8_oracle,Agriculture,8,0.13441664973894754,0.04069112707661507,0.30272386014412556,3
mmtsflib,C5_constant,SocialGood,8,1.177113758193122,0.3562464776132288,0.3026440521433287,3
tats,C4_crossdomain,Agriculture,8,0.13440181646082136,0.04067553947387869,0.30264129269216955,3
tats,C3_shuffled,Agriculture,8,0.13429122335380977,0.040559479446726436,0.30202628611005045,3
tats,C1_original,Agriculture,8,0.1340367727809482,0.040293473368773806,0.3006150665431499,3
mmtsflib,C6_unimodal,Energy,12,0.20192000932163665,0.060369861421113176,0.29897909386954585,3
tats,C6_unimodal,Health,12,1.407354288631015,0.4156918885477155,0.2953711740574395,3
tats,C2_empty,Environment,48,0.42460317744149106,0.12498005078422902,0.2943455381971344,3
tats,C5_constant,Environment,48,0.4256364007790883,0.12467278082165814,0.2929091134908952,3
tats,C9_zero_priors,Environment,48,0.42667320039537215,0.1243811285907554,0.2915138060592954,3
tats,C6_unimodal,Environment,336,0.4283356434769101,0.12391262683712706,0.2892886191569222,3
mmtsflib,C9_zero_priors,Energy,12,0.2509010566605462,0.07132975687018292,0.2842943661520235,3
mmtsflib,C9_zero_priors,Health,12,1.3335625065697565,0.3738333491724005,0.280326829324251,3
mmtsflib,C2_empty,Health,12,1.3371134201685588,0.3722442919825808,0.27839395399655403,3
mmtsflib,C4_crossdomain,Traffic,8,0.22500188648700714,0.06222272228615713,0.2765431137385162,3
mmtsflib,C8_oracle,Traffic,6,0.2175576819313897,0.05876582830321475,0.2701160803953937,3
tats,C2_empty,Health,48,2.145989934603373,0.5753274599424473,0.268094202431001,3
tats,C9_zero_priors,Health,48,2.146110018094381,0.5751714566726448,0.26800651030153766,3
tats,C5_constant,Health,48,2.1461675034628978,0.5750979815443533,0.2679650962082026,3
mmtsflib,C1_original,Traffic,8,0.22680493526988557,0.06058880771921877,0.2671406054154923,3
mmtsflib,C3_shuffled,Traffic,8,0.2269796795315213,0.06039336123478523,0.26607386775518926,3
mmtsflib,C5_constant,Health,12,1.3611706892649333,0.35954008446919217,0.2641403369208258,3
mmtsflib,C4_crossdomain,Health,12,1.2047884795400832,0.3178575997834231,0.2638285518008624,3
tats,C6_unimodal,Environment,96,0.4351961248450809,0.11343666044656295,0.2606564120646607,3
tats,C5_constant,Environment,336,0.38846005996068317,0.1009915210614321,0.25997916252099035,3
tats,C2_empty,Environment,336,0.38860463764932424,0.10096388485434482,0.25981132254385075,3
tats,C9_zero_priors,Environment,336,0.38868094484011334,0.1009492278266641,0.25972260582054074,3
mmtsflib,C9_zero_priors,SocialGood,10,1.2017347878879971,0.3089647129046364,0.25709891734733753,3
