model,backbone,condition,seed,domain,pred_len,mse,mae,wall_s
mmtsflib,DLinear,C10_empty_keep_priors,2023,Economy,12,0.09596589207649231,0.2602236270904541,20.81971402000636
mmtsflib,DLinear,C10_empty_keep_priors,2023,Energy,12,0.24513302743434906,0.3602316677570343,47.44160409399774
mmtsflib,DLinear,C10_empty_keep_priors,2023,Energy,24,0.353253573179245,0.45236936211586,28.65888039302081
mmtsflib,DLinear,C10_empty_keep_priors,2023,Energy,36,0.38342297077178955,0.4611319303512573,45.447582812048495
mmtsflib,DLinear,C10_empty_keep_priors,2023,Energy,48,0.4858630895614624,0.528356671333313,51.82250607898459
mmtsflib,DLinear,C10_empty_keep_priors,2023,Environment,48,0.46557122468948364,0.5295071601867676,182.66464873298537
mmtsflib,DLinear,C10_empty_keep_priors,2023,Environment,96,0.5486027002334595,0.6028825640678406,143.50748200598173
mmtsflib,DLinear,C10_empty_keep_priors,2023,Environment,192,0.6087779998779297,0.6648450493812561,68.4480620190152
mmtsflib,DLinear,C10_empty_keep_priors,2023,Environment,336,0.5465909242630005,0.6105883717536926,54.893221508013085
mmtsflib,DLinear,C10_empty_keep_priors,2023,Health,12,1.6873841285705566,0.8240413665771484,33.8540708089713
mmtsflib,DLinear,C10_empty_keep_priors,2023,Health,24,1.6553577184677124,0.8521794676780701,33.80184308899334
mmtsflib,DLinear,C10_empty_keep_priors,2023,Health,36,1.6772347688674927,0.8656609058380127,35.26032206200762
mmtsflib,DLinear,C10_empty_keep_priors,2023,Health,48,1.713589072227478,0.8950760364532471,31.638556554040406
mmtsflib,DLinear,C10_empty_keep_priors,2023,Security,6,104.48098754882812,5.030636787414551,25.497198252996895
mmtsflib,DLinear,C10_empty_keep_priors,2023,Security,8,107.76239013671875,5.23660945892334,25.416231407027226
mmtsflib,DLinear,C10_empty_keep_priors,2023,Security,10,111.64775085449219,5.4011030197143555,22.28861984499963
mmtsflib,DLinear,C10_empty_keep_priors,2023,Security,12,113.16797637939453,5.456053256988525,24.85942225100007
mmtsflib,DLinear,C10_empty_keep_priors,2023,SocialGood,6,1.007653832435608,0.5661656260490417,17.80455116200028
